order,m,N,condA,normB,stab_500,stab_1000,stab_2000,stab_4000,stab_10000
3,1,3,985.1103925818704,0.09806697801797451,True,True,True,True,True
3,1,3,14.771939770630777,0.10843027390759827,True,True,True,True,True
3,1,3,9.261016810128568,0.18652005526522028,False,True,True,True,True
3,1,3,36.23527863956658,0.11044373081798181,True,False,False,True,True
3,1,3,11.228948215139049,0.1210042731500586,True,True,True,True,True
3,1,3,1138.7975623099849,0.10600592284540652,False,True,True,True,True
3,1,3,29.512196098776432,0.11999905634528645,True,True,True,True,True
3,1,3,32.20954363099807,0.21396626617579853,True,True,True,True,True
3,1,3,21.086152719057438,0.07139795071179843,True,True,True,True,True
3,1,3,9.61319968046361,0.08261111519790394,True,True,True,True,True
3,1,3,9.362296550576145,0.04981294068784277,True,True,True,True,True
3,1,3,62.61168260861743,0.06796556121064906,False,False,True,True,True
3,1,3,549.5436548816336,0.03447817735551718,True,True,True,True,True
3,1,3,148.30203667146287,0.08187569279697335,True,True,True,True,True
3,1,3,92.54045081751683,0.09593084171814953,True,True,True,True,True
3,1,3,36.730644819466086,0.0843373362782275,True,True,True,True,True
3,1,3,31.234959871475407,0.14527229751553983,True,True,True,True,True
3,1,3,30.988435590385905,0.05987963286630282,True,True,True,True,True
3,1,3,18.19748595695669,0.15154897660187303,True,True,True,True,True
3,1,3,98.49373201899397,0.04759332835175236,True,True,True,True,True
3,1,3,6.153385245824229,0.10923108405736186,True,True,True,True,True
3,1,3,17.11584751148243,0.15846875995681658,True,True,True,True,True
3,1,3,116.50989153967554,0.10979129470275172,True,True,True,True,True
3,1,3,7705.512014051759,0.04987692910397356,False,False,True,True,True
3,1,3,48.17531624406667,0.07992132031871575,True,True,True,True,True
3,1,3,10.17503217954842,0.18472471518937694,False,False,False,False,True
3,1,3,16.358516223597217,0.15077400435685773,True,True,True,True,True
3,1,3,16.572997826314005,0.20191513611208572,True,True,True,True,True
3,1,3,9.471177775456367,0.06342004116835444,True,True,True,True,True
3,1,3,68.5070989508358,0.014637642496830937,True,True,True,True,True
3,1,3,43.7805888712006,0.07588728690932454,True,True,True,True,True
